Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
Congo,Africa,52.3,64,0.57,"$3,921 ",LM,5.8,0.3,0.1,0.3,0.3,0.1,0.1,1.1,0.2,2.3,5.078.503.786,259.848.564,61.983.349,7.831.302.282,6.712.954.164,740.522.273,142.804.872
"Congo, Democratic Republic of",Africa,50,59,0.48,"$1,127 ",LI,95.2,0.2,0,0.4,0,0,0.1,0.7,0.2,0.2,1.348.660.186,31.009.487,81.315.072,1.846.246.272,1.160.856.503,453.835.779,371.234.206
Costa Rica,Central America/Caribbean,73.8,77,0.81,"$20,976 ",UM,5.2,0.4,0.1,0.6,0.9,0.2,0.3,2.6,0.3,0.3,643.532.322,111.495.566,251.434.428,1.615.101.928,-983.838.933,1.720.907.437,1.609.149.748
Côte d'Ivoire,Africa,,,,,LM,27.7,0.3,0.1,0.2,0.2,0.1,0.1,0.9,0.5,0.4,92.553.167,29.642.487,5.096.482,1.106.372.817,221.608.441,585.853.114,799.698.224
Croatia,Other Europe,78.8,76,0.86,"$31,007 ",HI,4.1,0.8,0.2,0.7,1.8,0.1,0.2,3.7,0.7,0.2,116.326.204,360.782.969,155.072.882,25.716.721,-1.140.193.191,2.457.838.376,1.443.366.474
Cuba,Central America/Caribbean,74.7,74,0.76,,UM,11.3,0.8,0.1,0.1,0.8,0,0.1,1.9,0.5,0.1,23.953.113,168.781.666,67.478.993,1.115.083.757,-801.955.759,1.269.381.543,1.719.188.809
Cyprus,EU-27,74.2,81,0.9,"$41,492 ",HI,1.2,,,,,,,3.2,,,,,,380.453.362,-2.808.880.102,2.111.840.158,8.382.981.417
Czech Republic,EU-27,80.5,77,0.89,"$40,707 ",HI,10.7,1,0.3,0.8,2.8,0,0.1,5.1,1.1,0.1,1.242.041.251,5.852.416,122.170.694,2.522.005.575,-2.561.014.389,3.365.758.334,2.015.467.378
Denmark,EU-27,85.6,81,0.95,"$59,333 ",HI,5.8,1.9,0.4,1,2.9,0.8,0.2,7.3,1.8,0,394.444.494,1.753.241.899,216.036.198,4.216.546.359,-3.069.922.517,4.824.787.924,1.728.065.638
Djibouti,Africa,50.3,62,0.51,"$5,710 ",LM,1,1.6,0.1,0.2,0.2,0.1,0.2,2.5,0,0.2,1.715.099,234.446.828,214.843.062,633.919.885,-1.823.461.613,1.627.172.885,3.876.485.903
Dominica,Central America/Caribbean,,73,0.72,"$12,412 ",UM,0.1,,,,,,,2.7,,,,,,1.004.335.122,-1.682.665.685,1.779.216.966,267.540.261
Dominican Republic,Central America/Caribbean,70.8,73,0.77,"$20,541 ",UM,11.1,0.5,0.1,0.1,0.9,0.1,0.1,1.8,0.3,0.1,157.583.136,22.516.128,111.283.677,681.747.314,-1.121.494.442,1.194.029.536,2.645.029.498
Ecuador,South America,71.5,74,0.74,"$10,847 ",UM,18.1,,,,,,,1.7,,,,,,1.872.750.572,19.446.274,1.111.290.394,896.161.965
Egypt,Africa,68.7,70,0.73,"$12,786 ",LM,106.2,,,,,,,1.5,,,,,,313.084.392,-1.139.943.677,962.133.017,4.641.010.872
El Salvador,Central America/Caribbean,69.6,71,0.68,"$9,062 ",LM,6.6,0.4,0.2,0.4,0.6,0.1,0.1,2,0.2,0.1,87.975.489,112.063.344,133.305.571,605.743.426,-1.346.898.576,1.292.955.986,3.223.546.337
Equatorial Guinea,Africa,,61,0.6,"$16,305 ",HI,1.5,0.2,0,0.5,1,0.1,0,1.8,0.1,0.1,2.025.178.602,449.320.242,26.806.814,2.669.458.685,841.869.482,1.210.151.373,68.462.914
Eritrea,Africa,,67,0.49,"$1,800 ",LI,3.7,0.2,0.3,0.1,0.1,0,0,0.7,0.1,0.3,96.893.948,1.400.901.277,1.767.744,1.949.389.245,1.225.294.595,479.464.495,37.144.693
Estonia,EU-27,80.6,77,0.89,"$38,353 ",HI,1.3,0.9,0.2,4.3,2.6,0,0.1,8.1,1.4,0.1,3.832.438.381,4.301.283.389,134.033.174,9.811.607.127,169.411.469,5.375.056.169,827.335.658
Eswatini,Africa,54.6,57,0.6,"$8,917 ",LM,1.2,0.4,0.4,0.8,0.6,0,0.5,2.9,0.3,0.5,45.744.916,4.912.661,541.117.412,1.386.831.466,-1.512.901.071,1.920.078.816,2.090.904.777
Ethiopia,Africa,58,65,0.5,"$2,918 ",LI,120.8,0.3,0.1,0.4,0.1,0,0,0.8,0.3,0.1,46.856.067,2.296.988,33.687.634,449.047.566,-39.188.073,556.826.737,1.872.693.139
Fiji,Asia-Pacific,72.9,67,0.73,"$11,647 ",UM,0.9,0.8,0.2,0.7,0.9,0.2,0.1,2.8,0.5,0.1,1.346.372.069,622.259.519,14.061.498,2.744.014.775,-69.008.375,186.266.357,1.025.148.689
Finland,EU-27,86.5,82,0.94,"$49,686 ",HI,5.6,0.9,0.2,0.9,3,0.1,0.1,5.4,0.8,0.1,8.390.159.207,2.307.201.274,126.549.669,1.175.105.354,6.387.773.814,3.551.334.354,456.408.415
